node1,node2,weight,zids
Card(),set_planned_start(Card),5,"['97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish', '97710 : parent_card/test_planned_dates.py/test_planned_start_planned_finish', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
Card(),set_blocked_flag(Card),3,"['97163 : parent_card/test_blocked_flag.py/test_block_synced_card_and_sync_again', '97164 : parent_card/test_blocked_flag.py/test_unblock_synced_card', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved']"
Project(),verify_lk_earliest_planned_start(Project),4,"['97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
Card(),unset_planned_start(Card),1,['97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates']
Project(),verify_lk_total_cards(Project),8,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed']"
Project(),verify_lk_not_started_child_cards(Project),2,"['97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion']"
Project(),verify_lk_in_process_child_cards(Project),2,"['97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion']"
Project(),verify_lk_completed_child_cards(Project),2,"['97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards']"
Card(),set_lane(Card),9,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '98059 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_in_process_card', '98058 : parent_card/test_actual_dates.py/test_actual_start_date_for_in_process_card', '98057 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_completed_card', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
Project(),verify_lk_actual_start(Project),4,"['98059 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_in_process_card', '98060 : parent_card/test_actual_dates.py/test_card_moved_to_connected_cards_done_lane', '98058 : parent_card/test_actual_dates.py/test_actual_start_date_for_in_process_card', '98057 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_completed_card']"
