node1,node2,weight,zids
set_planned_finish(Card),update(Card),14,"['97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97710 : parent_card/test_planned_dates.py/test_planned_start_planned_finish', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
goto_card(Card),set_blocked_flag(Card),2,"['98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved']"
set_blocked_flag(Card),update(Card),9,"['97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97163 : parent_card/test_blocked_flag.py/test_block_synced_card_and_sync_again', '97164 : parent_card/test_blocked_flag.py/test_unblock_synced_card', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_missed_start_child_cards(Project),verify_lk_missed_finish_child_cards(Project),4,"['98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_missed_finish_child_cards(Project),verify_lk_blocked_child_cards(Project),4,"['98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_blocked_child_cards(Project),verify_lk_exception_count(Project),7,"['97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_exception_count(Project),verify_lk_exception_percent(Project),17,"['97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '98337 : child_cards/test_exception_metrics.py/test_blocked_child_card_reset_when_exception_resolved', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '98169 : child_cards/test_exception_metrics.py/test_exception_metrics_when_multiple_child_cards', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_missed_start_child_cards(Project),verify_lk_exception_count(Project),4,"['98103 : child_cards/test_exception_metrics.py/test_missed_start_child_card_reset_when_exception_resolved', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97589 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_without_size']"
goto_card(Card),set_size(Card),12,"['97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97696 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_size', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_missed_finish_child_cards(Project),verify_lk_exception_count(Project),4,"['98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '98336 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_reset_when_exception_resolved', '97697 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_without_size', '97700 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_size']"
